"CitationID","Paper","Authors","Year","Venue","ResearchFamily","Problem","DecisionTiming","HistoricalEvidence","EvidenceSignal","DecisionTarget","ModelSelection","SystemComposition","HeterogeneousMechanisms","RuntimeRouting","DesignTimeSelection","HumanDeferral","ThresholdCalibration","Domain","ClosestADSComponent","OverlapType","OverlapStrength","KeyDifference","PotentialChallengeToContribution","EvidenceLocation","DOI_or_URL"
"B4-03","Selective Classification for Deep Neural Networks","Geifman, El-Yaniv","2017","NeurIPS 30","B4","Guaranteed-risk selective classification for DNNs","Runtime (threshold calibrated design-time)","No (validation-set calibration only)","Softmax confidence score","Abstain-or-not, calibrated to a target risk level","No","No (post-hoc wrapper on one trained network)","No","Yes","Some (calibration)","Implicit only","Empirically calibrated (guaranteed-risk algorithm on held-out data)","General (image classification benchmarks)","Part 2","Partial overlap","Medium","Calibrates a single confidence threshold to guarantee a target risk; no multi-tier structure, no OCR-vs-classification dual-signal separation, no architecture-selection step, no feedback loop.","Shows guaranteed-risk single-threshold selective classification predates and is more theoretically rigorous than ADS-Cascade's T1/T2 auto-apply tiers, but doesn't address the multi-tier/LLM-consult/human-promotion structure.","Section 3 (SR algorithm)","arXiv:1705.08500"
"B4-04","SelectiveNet: A Deep Neural Network with an Integrated Reject Option","Geifman, El-Yaniv","2019","ICML (PMLR vol. 97)","B4","Jointly-trained integrated reject head","Runtime (architecture fixed training-time)","No","Learned rejection-head output","Abstain-or-not, end-to-end optimized jointly with classification","No","No (single network, two heads)","No","Yes","Yes (training-time architecture)","Not modeled","Learned end-to-end (joint loss)","General","Part 2","Partial overlap","Low-Medium","End-to-end trained single-model rejection, not a multi-tier cascade over independently-tracked confidence signals, and no dataset-level historical-consistency-driven architecture choice.","Minimal direct challenge -- different mechanism family (integrated training objective vs. post-hoc rule-based cascade).","Section 3 (joint loss function)","(PMLR v97, no formal DOI in record)"
"B4-05","Machine learning with a reject option: a survey","Hendrickx, Perini, Van der Plas, Meert, Davis","2024 (journal; arXiv preprint 2021)","Machine Learning (Springer)","B4","Comprehensive survey of reject-option strategies","Runtime (per surveyed literature)","Discussed across many methods; none use an aggregate historical-label-consistency metric","Varies (ambiguity rejection vs. novelty/OOD rejection)","Abstain-or-not","No","No","No","Yes","No","Discussed as a downstream use-case, not the survey's focus","Mixed (both fixed and learned approaches surveyed)","General","Part 2","Strong conceptual overlap","Medium-High","Comprehensive 2024 survey (72 citations, most recent found) of single-threshold/single-model reject-option methods; does not describe any method using a pre-deployment aggregate historical-determinism statistic to choose overall system composition, nor a 4-tier cascade with a permanent human-correction promotion mechanism.","Important negative-result check: if ADS-Cascade's exact mechanism were prior art, this comprehensive survey would likely reference something isomorphic -- it does not. Strengthens ADS-Cascade's claim of novelty in the SPECIFIC 4-tier + historical-determinism combination while confirming individual ingredients (reject option, ambiguity vs. novelty rejection) are old. NOTE: corrects seed lead -- 2021 is the arXiv preprint date; peer-reviewed publication is 2024.","Taxonomy section (ambiguity vs. novelty rejection)","10.1007/s10994-024-06534-x"
"B4-06","Optimal Strategies for Reject Option Classifiers","Franc, Prusa, Voracek","2023 (journal; arXiv preprint 2021)","Journal of Machine Learning Research, vol. 24(11)","B4","Theoretical optimality of reject-option strategies under three cost/coverage models","Both (design-time derivation, runtime application)","No","Theoretical/analytical (Bayes-optimal strategy classes)","Abstain-or-not, optimized under three cost formulations","No","No (classifier + selection function)","No","Yes","Yes (theoretical derivation)","Not modeled","Fixed (derived analytically, not empirically calibrated)","General","Part 2","Partial overlap","Low-Medium","Single reject threshold with rigorous optimality proofs under cost models; no multi-tier structure, no dual-signal (OCR+classification) tracking, no historical-determinism-based design-time architecture selection.","Even very recent (2023) top-tier reject-option theory has not generalized to the multi-tier/dual-signal/feedback-loop structure ADS-Cascade claims. NOTE: corrects seed lead -- the third author is Voracek (not 'Vernon' as originally assumed), and 2021 is the arXiv date, 2023 the JMLR date.","Section 2 (unified theorem)","(JMLR v24/21-0048, jmlr.org/papers/v24/21-0048.html)"
"B4-07","A Model-Agnostic Heuristics for Selective Classification (SCROSS)","Pugnana, Ruggieri","2023","AAAI Conference on Artificial Intelligence","B4","Model-agnostic cross-fitted selective-classification heuristic","Both (fit design-time, applied runtime)","No (training-data cross-fitting, not a distinct historical corpus)","Cross-fitted quantile estimation","Abstain-or-not, model-agnostic","No","No (base classifier + separately-fit selection function)","No","Yes","Yes (fit)","Not modeled","Empirically estimated (cross-fitting/quantile theory)","General (tabular data, socially-sensitive tasks e.g. credit scoring)","Part 2","Partial overlap","Low","Single accept/reject boundary, model-agnostic but not a multi-tier cascade; no design-time architecture-selection logic at all.","Minimal -- different problem scope (model-agnostic single selection function vs. whole-system multi-tier + architecture-selection design).","Section 3 (SCROSS algorithm)","10.1609/aaai.v37i8.26133"
"B4-08","Support Vector Machines with a Reject Option","Grandvalet, Rakotomamonjy, Keshet, Canu","2008","NeurIPS 21","B4","Double-hinge-loss SVM reject rule","Runtime","No (training set only, no historical determinism metric)","Learned SVM margin","Abstain-or-not (binary, two thresholds around the decision boundary)","No","No","No","Yes","No","Not modeled explicitly","Learned (convex optimization, double hinge loss)","General","Part 2","Distant analogy","Low","Classic single-threshold-pair reject rule for SVMs, deriving Chow's rule's two thresholds; no design-time architecture-selection component, no multi-tier human-feedback structure.","None significant beyond reinforcing that threshold-based rejection is decades old.","Section 2 (double hinge derivation)","(NeurIPS 2008 / Idiap-RR-01-2009 record)"
"B4-09","Second opinion needed: communicating uncertainty in medical machine learning","Kompa, Snoek, Beam","2021","npj Digital Medicine","B4","Perspective piece on uncertainty quantification/abstention in medical ML","Runtime","General discussion, not a specific historical-consistency metric","N/A (perspective piece)","Abstain-or-not, framed explicitly as escalation to a human clinician ('second opinion')","No","No","No","Yes","No","Yes (explicit: abstention as escalation to a human clinician)","Mixed across cited methods","Domain-specific framing (medical), mechanisms discussed are general","Part 2 / human-feedback loop","Strong conceptual overlap (closest B4 analogy to ADS-Cascade's human-escalation framing)","Medium","High-level perspective advocating abstention-to-human patterns in high-stakes domains; does not propose a specific multi-tier cascade, dual confidence-signal architecture, design-time historical-determinism-driven architecture-selection procedure, or permanent-promotion-on-correction mechanism.","Confirms 'abstain and escalate to human when uncertain, in high-stakes domains' is an established, widely-cited (462 citations) idea by 2021 -- at the level of general principle, not ADS-Cascade's specific tiered-with-feedback mechanism.","Throughout, esp. closing section on abstention as safety mechanism","10.1038/s41746-020-00367-3"
"B4-10","Human-Centered Evaluation of a Deep Learning System Deployed in Clinics for Diabetic Retinopathy","Beede, Baylor, Hersch, et al.","2020","CHI '20","B4","Field study of real-world workflow disruption from a rigid confidence-based accept/reject gate","Runtime (studied post-hoc)","No (observational field study)","N/A","Abstain-or-not (image quality gate referring to human)","No","No","No","Yes (gate studied)","No","Yes (central finding: social/environmental factors undermine the presumed clean human handoff)","Fixed (not recalibrated from field feedback in this study)","Medical","human-feedback loop","Partial overlap (useful adversarial counter-evidence)","Low","Empirically demonstrates that a naive 'reject to human' handoff -- without a formalized, evolving cascade or feedback-into-knowledge-base mechanism -- fails in practice; doesn't propose or evaluate such a mechanism itself.","Could be cited as motivating evidence rather than competing prior art -- indirectly supports the need for something like ADS-Cascade's T4-to-T1 promotion mechanism, without proposing one.","Findings section on workflow disruption","10.1145/3313831.3376718"
"B5-01","Predict Responsibly: Improving Fairness and Accuracy by Learning to Defer","Madras, Pitassi, Zemel","2018","NeurIPS 31","B5","Learned pass/defer function modeling a biased downstream human decision-maker","Training-time (learn) / runtime (decide)","Yes (historical decisions of the external decision-maker)","Historical human-decision data","Abstain-or-defer-to-human, per item, jointly optimized with the classifier","No","Yes (two-stage system)","Yes","Yes","Yes (training)","Yes (central mechanism)","Learned (end-to-end joint optimization)","General (fairness-focused ML)","Part 2 / human-feedback loop","Strong conceptual overlap","Medium-High","'Learning to defer' here means jointly training a defer function that accounts for a SPECIFIC human's biases, learned from that human's past decisions -- a single binary (defer/not) decision, not a 4-tier cascade, with no design-time whole-architecture-selection mechanism (Part 1) and no formal permanent-promotion-on-correction mechanism.","Closest single paper to 'runtime deferral informed by human behavior,' but operates at the single-defer-decision level, end-to-end trained (not rule-based thresholds on an aggregate statistic), with no analog to Part 1's dataset-level historical-determinism-driven architecture selection and no anticipation of the T4-to-T1 permanent-promotion feedback loop.","Section 3 (generalization of 'rejection learning')","(NeurIPS 2018 proceedings, dl.acm.org/doi/10.5555/3327345.3327513)"
"B5-02","Consistent Estimators for Learning to Defer to an Expert","Mozannar, Sontag","2020","ICML (PMLR vol. 119)","B5","Consistent surrogate loss for the classifier-rejector pair (foundational L2D framework)","Training-time (learn) / runtime (decide)","Yes (samples of the expert's past decisions)","Historical expert-decision data","Abstain-or-defer-to-expert","No","Yes (jointly trained classifier + rejector)","Yes","Yes","Yes (training)","Yes (central, foundational mechanism)","Learned (consistent surrogate loss, generalizes cross-entropy)","General","Part 2 / human-feedback loop","Strong conceptual overlap","Medium-High","Establishes the theoretically-grounded 'learning to defer' (L2D) framework the modern sub-literature is built on; still a single binary classify-or-defer decision per item, trained end-to-end, with no multi-tier cascade, no dual independently-tracked confidence signals, no design-time whole-architecture-selection step, and no permanent-promotion-on-correction mechanism.","Foundational paper the entire modern L2D sub-literature builds on (Verma & Nalisnick 2022, Keswani et al. 2021, Liu et al. 2022 all extend it) -- establishes 'defer decisions informed by past expert behavior' is a mature (2020+), heavily-elaborated research program, but none of its extensions found add a design-time architecture-selection layer or a T4-to-T1-style permanent per-item promotion; that specific combination appears to be an actual gap in this literature.","Section 3 (consistent surrogate loss)","(PMLR v119, proceedings.mlr.press/v119/mozannar20b.html)"
"B5-03","Human-in-the-loop machine learning: a state of the art","Mosqueira-Rey, Hernandez-Pereira, Alonso-Rios, Bobes-Bascaran, Fernandez-Leal","2022","Artificial Intelligence Review","B5","Survey: taxonomizes active learning, interactive ML, machine teaching, curriculum learning, explainable AI as HITL ML","Mostly training-time (per surveyed methods)","Varies by surveyed approach","Varies","Varies (label-query targets, training curricula, etc.), not architecture selection","No","No","No","No","Mostly training-time","Central topic, but framed as human-in-the-TRAINING-loop, not human-in-the-inference-loop escalation","N/A (survey)","General","human-feedback loop","Partial overlap","Medium","This survey's HITL is almost entirely about the TRAINING process (active learning query strategies, machine teaching, curriculum design) -- a different lifecycle phase than ADS-Cascade's Part 2, which is inference-time human correction feeding back into a historical KB that changes future routing, not model retraining per se.","Useful for terminology-variant coverage but doesn't directly anticipate ADS-Cascade's specific mechanism (T4 manual entry permanently promoting to T1). Confirms 'human correction improves future system behavior' is a broad, well-established genre, but the specific implementation isn't described here.","Section 2 (taxonomy diagram)","10.1007/s10462-022-10246-w"
"B5-04","Towards Unbiased and Accurate Deferral to Multiple Experts","Keswani, Lease, Kenthapadi","2021","AIES '21","B5","Deferral to multiple experts with bias correction","Training-time (learn) / runtime (decide)","Yes (historical expert predictions/labels as training signal)","Per-expert reliability profile","Abstain-and-choose-which-expert (richer than binary defer)","No","Yes (classifier + deferral system + expert pool)","Yes","Yes","Yes (training)","Yes (extended to multiple experts)","Learned (joint optimization)","General (tested on content moderation)","Part 2 / human-feedback loop","Partial overlap","Low-Medium","Extends L2D to multiple experts with fairness/bias correction; still a single deferral decision per item without ADS-Cascade's tiered structure, dual-signal tracking, or design-time historical-determinism-driven architecture choice.","Reinforces that 'who to defer to' and expert-bias correction are studied, but not the specific 4-tier + permanent-promotion mechanism.","Section 3 (deferral-to-multiple-experts framework)","10.1145/3461702.3462516"
"B5-05","Calibrated Learning to Defer with One-vs-All Classifiers","Verma, Nalisnick","2022","ICML (PMLR vol. 162)","B5","Calibration fix to Mozannar & Sontag's L2D parameterization","Training-time (calibration) / runtime (decide)","Yes (same expert-decision-history training signal as the L2D lineage)","Calibrated probability of expert correctness","Abstain-or-defer","No","Yes (classifier + calibrated one-vs-all rejector)","Yes","Yes","Yes (training)","Yes","Learned/calibrated (explicit target: calibration quality)","General","Part 2 / human-feedback loop","Partial overlap","Low","A calibration fix to the L2D framework; same limitations relative to ADS-Cascade as Mozannar & Sontag 2020 -- single defer decision, no design-time architecture selection, no permanent-promotion mechanism.","Shows the L2D literature is still actively iterating on calibration mechanics as of 2022 without ever reaching ADS-Cascade's specific combination.","Section 4 (one-vs-all calibrated loss)","(PMLR v162, proceedings.mlr.press/v162/verma22c.html)"
"B5-06","Incorporating uncertainty in learning to defer algorithms for safe computer-aided diagnosis","Liu, Gallego, Barbieri","2022","Scientific Reports","B5","Uncertainty-aware L2D loss for safe computer-aided diagnosis","Training-time (learn) / runtime (decide)","Yes (historical diagnostic records)","Two related uncertainty terms from the SAME model (prediction uncertainty + an epistemic-style term)","Abstain-or-defer, informed by uncertainty","No","Yes (diagnostic network + deferral mechanism)","Yes","Yes","Yes (training)","Yes (central)","Learned (tunable deferral-rate weight)","Medical (computer-aided diagnosis)","Part 2 -- strongest dual-signal precedent found","Partial overlap (strongest single adversarial hit for the dual-signal claim)","Medium","Uses two related uncertainty terms from the SAME model to modulate ONE binary deferral decision -- a partial precedent for 'more than one confidence signal informing routing,' but not architecturally-separate OCR-confidence-vs-classification-confidence channels; still binary, not 4-tier; no design-time architecture-selection.","STRONGEST single piece of adversarial evidence found anywhere in the sweep for the 'two independently-tracked confidence signals' claim -- ADS-Cascade must clearly distinguish 'OCR-confidence vs. classification-confidence, never blended' (architecturally separate channels) from 'prediction uncertainty + epistemic uncertainty from the same model' (this paper's approach).","Methods section (LDU loss formulation)","10.1038/s41598-022-05725-7"
"B6-01","Taxonomy of hybrid architectures involving rule-based reasoning and machine learning in clinical decision systems: A scoping review","Kierner, Kucharski, Kierner","2023","Journal of Biomedical Informatics","B6","Scoping review: 5 archetypes for combining rules and ML in clinical decision systems","Design-time (per reviewed systems)","Varies by reviewed system; no unifying determinism-style metric","Varies","Architecture pattern for combining rules and ML (5 archetypes)","No","Yes","Yes","No","Yes","Varies, not systematically studied","N/A (taxonomy paper)","Domain-specific (clinical decision systems), taxonomy itself general","Part 1","Strong conceptual overlap","Medium-High","Catalogs 71 existing hybrid rules+ML architecture patterns chosen at design time after the fact; establishes hybrid-architecture-at-design-time as a recognized, populated space, but none of the reviewed systems use ADS-Cascade's determinism-score-driven selection criterion.","Weakens novelty of 'hybrid rule+ML architecture chosen at design time' as a general idea (71+ prior systems reviewed), but does not anticipate the specific determinism-score mechanism.","Abstract; Results section (five architecture archetypes)","10.1016/j.jbi.2023.104428"
"B6-02","A Unified Approach to Routing and Cascading for LLMs","Dekoninck, Baader, Vechev","2024","arXiv preprint","B6","Unified theoretically-optimal routing+cascading framework for LLMs","Runtime","Indirect (quality/confidence estimators are trained)","Per-query quality/confidence estimates","Which LLM(s) to call and in what order","No","Yes","Yes (different-size models, not mechanism-class heterogeneous)","Yes","No","Not addressed","Formally optimized/derived (not hand-set)","General (any LLM task)","Part 2","Strong conceptual overlap","Medium","Unifies 'routing' (pick one model) and 'cascading' (escalate through models) into one theoretically optimal per-query framework, directly analogous in spirit to ADS-Cascade's T1-T4 tiers -- but purely runtime among LLMs of varying size, with no design-time dataset-level architecture-selection step, no rules-vs-ML distinction, no human-in-the-loop feedback.","Provides a more rigorous/optimal theoretical foundation for exactly the kind of confidence-gated escalation ADS-Cascade's Part 2 implements informally; ADS-Cascade's runtime cascade could be seen as a domain-specific, less formally optimal instance of this general pattern.","Abstract","arXiv (no DOI resolved)"
"B6-03","Hybrid LLM: Cost-Efficient and Quality-Aware Query Routing","Ding, Mallick, Wang, et al. (Microsoft)","2024","arXiv preprint","B6","Query-difficulty-routed small/large LLM selection","Runtime","Yes (router trained on historical query/quality data)","Predicted query difficulty","Small model vs. large model per query","No","Yes (two LLM tiers)","Yes (model scale)","Yes","No","No","Learned (tunable quality-level dial at test time)","General NLP","Part 2","Partial overlap","Medium","Two-tier confidence/difficulty-gated routing between cheap/expensive models, structurally similar to a subset of ADS-Cascade's tiers, but purely runtime, no design-time phase, both tiers are LLMs rather than rules/embedding/LLM.","Reinforces that confidence-gated tiered LLM routing at runtime is a well-established, highly-cited (377 citations) pattern -- the runtime half of ADS-Cascade is not architecturally novel in isolation.","Abstract","arXiv (no DOI resolved)"
"B6-04","Optimising Calls to Large Language Models with Uncertainty-Based Two-Tier Selection","Ramirez, Birch, Titov","2024","arXiv preprint","B6","Uncertainty-based two-tier small/large LLM selection (no extra neural router)","Runtime","No (uncertainty of small-model generations only, no extra training)","Small-model generation uncertainty","Accept small-model output vs. escalate to large LLM","No","Yes (two LLM tiers)","Yes (model scale)","Yes","No","No","Learned/tuned uncertainty threshold","General","Part 2","Partial overlap","Low-Medium","Explicitly a 'two-tier' confidence-gated cascade (echoing ADS-Cascade's tier language) but confined to LLM-vs-LLM escalation with no rules layer, no design-time step, no human-feedback loop into historical data.","Minor -- narrow, LLM-only scope limits overlap, but shows 'two-tier confidence gating' terminology/pattern predates and is independent of ADS-Cascade.","Abstract","arXiv (no DOI resolved)"
"B6-05","Split Computing and Early Exiting for Deep Learning Applications: Survey and Research Challenges","Matsubara, Levorato, Restuccia","2022","ACM Computing Surveys","B6","Survey of split-computing and early-exit DNN methods","Both (exit points/thresholds fixed design-time; exit decision runtime)","No (thresholds tuned on held-out validation performance, not live historical label agreement)","Per-input confidence at intermediate network layers","Depth of computation per input (early exit vs. full pipeline)","No","Some (head/tail model splits)","Not mechanism-heterogeneous (same DNN, different depths)","Yes","Some","No","Learned/tuned (target accuracy per exit)","General (vision/speech DNN inference)","Part 2","Distant analogy","Low","Early-exit is architecturally a tiered-confidence cascade resembling T1-T4 in SHAPE, but operates within a single DNN's layers on accuracy/latency, not across heterogeneous mechanism types (rules/embeddings/LLM), with no design-time dataset-level architecture-selection and no human-feedback loop.","Shows that 'tiered escalation gated by per-item confidence, with tier boundaries fixed in advance' is a long-established general ML pattern (early exiting), independent of ADS-Cascade's specific domain and metric.","Abstract","10.1145/3527155"
"B8-01","Machine learning for financial transaction classification across companies using character-level word embeddings of text fields","Jorgensen, Igel","2021","Intelligent Systems in Accounting, Finance and Management, vol. 28(3)","B8","ML for financial-transaction-to-account classification; per-company vs. global vs. transfer-learning architecture comparison","Design-time (architecture choice based on measured cross-company generalization gap)","Yes (real Danish SME transaction-to-account mapping history)","Measured cross-company generalization gap (80.5% within-company vs. 64.6% leave-one-company-out)","Whether to build one classifier per company, one global classifier, or a transfer-learning hybrid","Yes","No (pure ML, no rules/LLM layer)","No (ML only)","No","Yes (architecture chosen from measured gap)","Yes (top-5 suggestion list for accountant approval, by default, not confidence-tiered)","Not threshold-based (direct accuracy reporting, no formal cross-company-consistency threshold)","Accounting/GL classification -- SAME application domain as ADS-Cascade","Application domain + Part 1 rationale -- closest B8 hit","Strong conceptual overlap","High (for the application domain and design rationale specifically)","Empirically demonstrates the EXACT phenomenon ADS-Cascade's 'cross-company consistency < 0.90 -> hybrid' rule encodes (global classifier generalizes far worse across companies), in the SAME application domain -- but doesn't formalize this into a pre-deployment determinism/consistency metric or a rules-vs-ML-vs-LLM decision procedure; purely ML, no rules, no LLM.","Closest single B8 finding to ADS-Cascade's Part 1 cross-company-consistency design rule -- shows the underlying empirical justification (companies differ enough that global classifiers underperform) was already documented in 2021 in essentially the same application domain, weakening novelty of that specific threshold-driven design choice, though ADS-Cascade's determinism-score formalism and its extension to rules/LLM tiers go beyond this paper.","Abstract; Table 8 (leave-one-company-out accuracy); Discussion section","10.1002/isaf.1500"
"B8-02","Detecting Anomalies in Financial Data Using Machine Learning Algorithms","Bakumenko, Elragal","2022","Systems, vol. 10(5)","B8","ML anomaly/fraud detection on general-ledger journal entries","Post-hoc evaluation on a real GL dataset","Yes (real-life GL dataset, historical journal entries)","Model detection performance (supervised + unsupervised)","Best-performing anomaly-detection algorithm (not an architecture-selection decision)","Yes","No","No","No","No (paper doesn't address architecture selection)","Discussed practically (sampling to focus auditor attention), not formalized as a tiered cascade","Not the focus","Accounting/GL (fraud detection, adjacent task)","Application domain only","Application domain only","Low-Medium","Same underlying data type (GL journal entries) and audience (accounting/audit), but the task is anomaly/fraud detection, not item-to-account classification, and there is no architecture-selection or cascade mechanism.","Minimal direct challenge; mainly establishes GL-data ML research as an active, populated academic area, supporting that B8's broader domain is not entirely un-served even where this specific paper doesn't overlap mechanistically.","Abstract","10.3390/systems10050130"
"B8-03","Examining the Plausible Applications of Artificial Intelligence & Machine Learning in Accounts Payable Improvement","Vijaya Kanaparthi","2023","FinTech, vol. 2(3)","B8","End-to-end AP automation pipeline case study (vendor ID, line-item matching, accounting-code ID, tax-code ID)","Runtime (operational metric: percentage auto-processed)","Implied (system 'configured' per customer), not detailed as a formal historical-consistency metric","Aggregate automation rate (76% of ~80,000 invoices processed with little/no human interaction)","N/A -- describes a deployed pipeline, not an explicit rules-vs-ML-vs-LLM selection procedure","Unclear from abstract","Plausibly yes (multi-module pipeline)","Plausibly yes, not rigorously specified in the abstract","Yes (auto vs. human split)","Not specified as a formal pre-deployment step","Yes (reports fraction requiring human interaction)","Not detailed in the abstract","Accounts payable","Part 2 (human-vs-automated split) + application domain","Partial overlap","Low-Medium (abstract-level only -- flag as needing a full-text read to confirm mechanism details)","Reports an operational auto-processed/human-fallback split for AP invoices similar in spirit to ADS-Cascade's T1-T4 auto-apply/human-review split, but the abstract does not describe a determinism-based design-time architecture-selection step or explicit confidence tiers -- only an aggregate automation rate.","Shows academic-adjacent (industry case-study) publications on AP automation already report human/automated split metrics for invoice-to-account-code pipelines; weakens novelty of 'human fallback in an invoice classification pipeline' as an idea, though not the determinism-driven design mechanism specifically.","Abstract","10.3390/fintech2030026"
"B8-04","Invoice GL Coding Automation: Workflow & Controls (practitioner blog)","Ken From Finance (vendor/practitioner blog)","undated (~2025)","industry blog, kenfromfinance.com","B8","Practitioner guidance: pre-deployment vendor-coding-consistency audit + 3-tier runtime confidence cascade","Both (explicit: pre-deployment audit + runtime cascade)","Yes (explicit: 'same vendor coded 18/20 invoices the same way')","Historical vendor GL-coding consistency + per-invoice confidence score","Auto-code vs. suggest-for-confirmation vs. manual-review tier","No","Plausibly (rules + ML-style scoring, not rigorously specified)","Plausibly, not rigorously specified","Yes","Yes (recommended pre-deployment historical-consistency audit)","Yes (explicit three-tier structure: auto-code / suggest / review)","Fixed/hand-set (95%, 80%, risk-adjusted by account sensitivity)","Invoice GL coding -- SAME domain as ADS-Cascade","Part 1 AND Part 2 simultaneously -- closest combined-shape match found in the entire sweep","Strong conceptual overlap","Medium-High (informal, practitioner source, not peer-reviewed)","Independently recommends almost the SAME two-part shape as ADS-Cascade (historical-consistency check before deployment + confidence-tiered runtime cascade) -- informally, without a formal aggregate score, without a rules-vs-ML-vs-LLM architecture-selection procedure, and without academic rigor or evaluation.","STRONGEST evidence found across the ENTIRE sweep that ADS-Cascade's general TWO-PART SHAPE is already informal industry/folk-wisdom best practice in this exact application domain, even without a named methodology -- does not subsume ADS-Cascade's formal metric or architecture-selection procedure, but substantially weakens any claim that the general idea is novel to this domain.","Direct quotes retrieved via WebFetch, 2026-08-11","https://www.kenfromfinance.com/blog/invoice-gl-coding-automation (no DOI, industry source)"
"B8-05","How to Automate GL Coding for Non-PO Invoices (vendor blog)","Peakflo (AP automation vendor)","undated (~2025)","industry blog, peakflo.co","B8","Commercial ML-primary GL-coding with confidence-tiered auto-approve/review + correction feedback loop","Runtime","Yes (model 'learns coding patterns' from history + continuous correction feedback)","Per-suggestion confidence score (85-99%)","Auto-approve vs. finance-review tier","No","No (explicitly ML-only, contrasted against rule-based approaches)","No","Yes","No (no described pre-deployment historical-consistency audit)","Yes ('95%+ proceed to approval, 85-94% route to finance review')","Fixed/hand-set (95%, 85%)","Invoice GL coding","Part 2 runtime cascade + human-feedback loop","Partial overlap","Medium","Confirms confidence-tiered auto-approve/review with a human-correction feedback loop is a standard commercial AP-automation feature; no pre-deployment historical-determinism measurement driving an architecture choice (ML-primary by default, not selected via a measured-determinism decision procedure).","Reinforces that Part 2 (confidence-tiered auto-apply/review, human corrections feeding back into the model) is now commodity/standard practice among AP-automation vendors -- weakens novelty claims for the runtime cascade specifically, while leaving Part 1 less directly challenged by this source.","WebFetch-retrieved quote, 2026-08-11","https://peakflo.co/blog/gl-coding-automation-non-po-invoices (no DOI, industry source)"
"B8-06","What Are the Best Practices for Using AI Agents in AP? (vendor blog)","Ramp (fintech vendor)","2025-11-03","industry blog, ramp.com","B8","AP-agent best-practices guidance: pre-deployment baseline measurement + confidence-gated runtime auto-post","Both","Yes (explicit: baseline = 'time-per-stage, exception counts' measured before deployment)","Operational baseline (time/exceptions) + per-prediction confidence","Auto-post vs. human-review per invoice/field","No","Not detailed as rules+ML+LLM explicitly","Not established from this source","Yes","Yes (recommends establishing a baseline before deployment)","Yes (explicit: route low-confidence cases to human review)","Policy-based/hand-set, tunable tolerances","Accounts payable","Part 2 + a loose Part 1 analog (operational baseline, not a label-consistency metric)","Partial overlap","Medium","Recommends measuring a current-state/historical baseline before deploying AI agents plus confidence-gated auto-post/review -- structurally similar in spirit but far less formal than ADS-Cascade's determinism-score-driven architecture decision; 'baseline' here is operational (time, exception counts), not a label-consistency metric.","Further corroborates that 'measure before you automate, then confidence-gate at runtime' is now widely articulated general AP-automation guidance across multiple vendors (Ramp, Peakflo, Ken From Finance) -- a pattern, if not a formal method.","WebFetch-retrieved quotes, 2026-08-11","https://ramp.com/blog/agentic-ai/best-practices-for-ap-agents (no DOI, industry source)"
"G1-01","Introduction to Information Retrieval (textbook, cluster purity, Ch. 16.3)","Manning, Raghavan, Schutze","2008","MIT Press / Cambridge University Press","GAP1-ADS-METRIC","Defines cluster purity as an extrinsic clustering-evaluation metric","N/A (metric definition, not a decision procedure)","No (compares clustering to ground truth at one point in time)","Max-class-count / cluster-size ratio","N/A (evaluation metric, not a selection target)","No","No","No","No","No","N/A","N/A (metric paper)","IR / clustering evaluation (general)","ADS metric itself","Direct prior art","High","purity(cluster) = max_j(class-j count)/(cluster size) is the IDENTICAL closed-form expression as ADS(p) = max(c_i)/sum(c_i), under 'cluster' <-> 'item's historical booking multiset.' Not an analogy -- the same formula, relabeled unit of analysis.","Directly challenges any claim that ADS's mathematical construction is novel. The metric itself is a ~2003-2009-documented, textbook-canonical clustering-evaluation statistic. Novelty must rest entirely on ADS's design-time architecture-selection APPLICATION, not the formula.","Ch. 16.3, purity formula","(textbook; no DOI. https://nlp.stanford.edu/IR-book/)"
"G1-02","A comparison of extrinsic clustering evaluation metrics based on formal constraints","Amigo, Gonzalo, Artiles, Verdejo","2009","Information Retrieval, 12(4):461-486","GAP1-ADS-METRIC","Formal axiomatic treatment of clustering-evaluation metrics including purity","N/A","No","Max-class-count / cluster-size ratio","N/A","No","No","No","No","No","N/A","N/A","IR / clustering evaluation (general)","ADS metric itself","Direct prior art","High","Same formula as G1-01, formalized rigorously; also formally proves purity rewards over-fragmentation on small clusters -- an analogous known weakness worth citing for ADS's own low-evidence-count items.","Same as G1-01; additionally supplies a citable formal critique of the metric family's known weaknesses, relevant to ADS's own limitations discussion.","Full paper (844 citations)","10.1007/s10791-008-9066-8"
"G1-03","Criterion functions for document clustering / CLUTO lineage","Zhao, Karypis","2003","Clustering in Life Sciences (Humana Press)","GAP1-ADS-METRIC","Criterion-function formalization of clustering-evaluation metrics incl. purity","N/A","No","Max-class-count / cluster-size ratio","N/A","No","No","No","No","No","N/A","N/A","Document clustering (general)","ADS metric itself","Direct prior art","High","Independent lineage (CLUTO toolkit) confirming the same formula's canonical status, separate from the IR-book/Amigo lineage.","Third independent citation for the same mathematical construction -- strengthens rather than weakens the 'known metric' finding.","Full text","10.1385/1-59259-364-x:183"
